1,Grid great Grier,1,Steak tartare need
6,"New issuances, for short",2,1887 Verdi opera
10,Frequently,3,"""Already?"""
13,Observe Yom Kippur,4,M.D.'s specialty
14,Author Zora ___ Hurston,5,Slangy approvals
16,Break down,6,One way to pay
17,Disoriented 1949 musical?,7,Kennedy Library architect
19,___ pro nobis,8,Palooka
20,"""Telephone Line"" grp.",9,Divvy
21,Music store selection,10,Mario Lanza favorite
22,Place for brewskis,11,Tip off
24,Hardly five-star fare,12,Alpine transport
26,Grenoble's river,15,"""The Name of the Rose"" author"
29,VCR button: Abbr.,18,Curly-tailed dog
30,"Disoriented advice, once?",23,Dot follower
34,Soup bit,25,The Swiss Guards him
35,Really big show,27,Mask feature
36,Cork locale: Abbr.,28,Classic theater name
37,Coolidge's veep,31,Do course work?
40,"Not making eye contact, say",32,"""___ I can help it!"""
41,Delmonico alternative,33,Society page word
43,Plug extension?,37,Female goat
44,Where Canton is,38,Menu option
46,Cruet filler,39,Place to come clean?
47,Disoriented 1979 Nick Nolte movie?,40,Rural structure
53,"""Evita"" role",42,Totally botch
54,Holiday numbers,45,Harrison Ford role
55,Muted effect,46,Bone: Prefix
56,Noble partner,48,British P.M.'s house number
58,Vigor,49,Top dogs
60,"Green, in a way",50,Like lotteries
61,Treasure of the Sierra Madre,51,Pluck
62,Disoriented Steinbeck novel?,52,Opened wide
66,Platte River people,56,Insensitive sort
67,"""The Nutcracker"" girl",57,Emergency key
68,Got stage fright,59,"""All gone!"""
69,Dreamy state?,63,Walter Reuther's org.
70,Has chits out,64,Due follower
71,Like tournament chess games,65,"""___ tu"""
